[2025-11-27 16:35:35.237055] T2 | TERMINATED | Object:  | Action: N/A | Status: 
[2025-11-27 16:35:35.265285] T3 | BEGIN_TRANSACTION | Object:  | Action: N/A | Status: 
[2025-11-27 16:35:35.330747] T3 | ACCESS | Object: buffer_test | Action: WRITE | Status: ALLOWED
[2025-11-27 16:35:35.331143] T3 | ACCESS | Object: buffer_test | Action: READ | Status: LOGGED
[2025-11-27 16:35:35.396084] T3 | ACCESS | Object: buffer_test | Action: READ | Status: ALLOWED
[2025-11-27 16:35:35.396524] T3 | ACCESS | Object: buffer_test | Action: READ | Status: LOGGED
[2025-11-27 16:36:20.146250] T1 | BEGIN_TRANSACTION | Object:  | Action: N/A | Status: 
[2025-11-27 16:36:20.317963] T1 | ACCESS | Object: buffer_test | Action: WRITE | Status: ALLOWED
[2025-11-27 16:36:20.318436] T1 | ACCESS | Object: buffer_test | Action: READ | Status: LOGGED
[2025-11-27 16:36:20.383114] T1 | ACCESS | Object: buffer_test | Action: WRITE | Status: ALLOWED
[2025-11-27 16:36:20.383613] T1 | ACCESS | Object: buffer_test | Action: READ | Status: LOGGED
[2025-11-27 16:36:20.450860] T1 | ACCESS | Object: buffer_test | Action: WRITE | Status: ALLOWED
[2025-11-27 16:36:20.451355] T1 | ACCESS | Object: buffer_test | Action: READ | Status: LOGGED
[2025-11-27 16:36:20.488088] T1 | PARTIALLY_COMMITTED | Object:  | Action: N/A | Status: 
[2025-11-27 16:36:20.488313] T1 | COMMITTED | Object:  | Action: N/A | Status: 
[2025-11-27 16:36:20.488491] T1 | TERMINATED | Object:  | Action: N/A | Status: 
[2025-11-27 16:36:20.515588] T2 | BEGIN_TRANSACTION | Object:  | Action: N/A | Status: 
[2025-11-27 16:36:20.579679] T2 | ACCESS | Object: buffer_test | Action: WRITE | Status: ALLOWED
[2025-11-27 16:36:20.580352] T2 | ACCESS | Object: buffer_test | Action: READ | Status: LOGGED
[2025-11-27 16:36:20.660132] T2 | ACCESS | Object: buffer_test | Action: READ | Status: ALLOWED
[2025-11-27 16:36:20.660653] T2 | ACCESS | Object: buffer_test | Action: READ | Status: LOGGED
[2025-11-27 16:36:20.706207] T2 | ACCESS | Object: buffer_test | Action: READ | Status: ALLOWED
[2025-11-27 16:36:20.706753] T2 | ACCESS | Object: buffer_test | Action: READ | Status: LOGGED
[2025-11-27 16:36:20.746048] T2 | PARTIALLY_COMMITTED | Object:  | Action: N/A | Status: 
[2025-11-27 16:36:20.746268] T2 | COMMITTED | Object:  | Action: N/A | Status: 
[2025-11-27 16:36:20.746443] T2 | TERMINATED | Object:  | Action: N/A | Status: 
[2025-11-27 16:36:20.777830] T3 | BEGIN_TRANSACTION | Object:  | Action: N/A | Status: 
[2025-11-27 16:36:20.874614] T3 | ACCESS | Object: buffer_test | Action: WRITE | Status: ALLOWED
[2025-11-27 16:36:20.875172] T3 | ACCESS | Object: buffer_test | Action: READ | Status: LOGGED
[2025-11-27 16:36:20.953582] T3 | ACCESS | Object: buffer_test | Action: READ | Status: ALLOWED
[2025-11-27 16:36:20.954620] T3 | ACCESS | Object: buffer_test | Action: READ | Status: LOGGED
[2025-11-27 16:36:20.991087] T3 | PARTIALLY_COMMITTED | Object:  | Action: N/A | Status: 
[2025-11-27 16:36:20.991310] T3 | COMMITTED | Object:  | Action: N/A | Status: 
[2025-11-27 16:36:20.991492] T3 | TERMINATED | Object:  | Action: N/A | Status: 
[2025-11-27 16:36:21.023376] T4 | BEGIN_TRANSACTION | Object:  | Action: N/A | Status: 
[2025-11-27 16:36:21.080035] T4 | ACCESS | Object: buffer_test | Action: WRITE | Status: ALLOWED
[2025-11-27 16:36:21.080490] T4 | ACCESS | Object: buffer_test | Action: READ | Status: LOGGED
[2025-11-27 16:36:21.146203] T4 | ACCESS | Object: buffer_test | Action: READ | Status: ALLOWED
[2025-11-27 16:36:21.146552] T4 | ACCESS | Object: buffer_test | Action: READ | Status: LOGGED
[2025-11-27 16:36:21.195713] T4 | ACCESS | Object: buffer_test | Action: READ | Status: ALLOWED
[2025-11-27 16:36:21.196395] T4 | ACCESS | Object: buffer_test | Action: READ | Status: LOGGED
[2025-11-27 16:36:21.233228] T4 | PARTIALLY_COMMITTED | Object:  | Action: N/A | Status: 
[2025-11-27 16:36:21.233457] T4 | COMMITTED | Object:  | Action: N/A | Status: 
[2025-11-27 16:36:21.233646] T4 | TERMINATED | Object:  | Action: N/A | Status: 
[2025-11-27 16:36:21.261544] T5 | BEGIN_TRANSACTION | Object:  | Action: N/A | Status: 
[2025-11-27 16:36:21.331349] T5 | ACCESS | Object: buffer_test | Action: WRITE | Status: ALLOWED
[2025-11-27 16:36:21.331734] T5 | ACCESS | Object: buffer_test | Action: READ | Status: LOGGED
[2025-11-27 16:36:21.362296] T6 | BEGIN_TRANSACTION | Object:  | Action: N/A | Status: 
[2025-11-27 16:36:21.436434] T6 | ACCESS | Object: buffer_test | Action: READ | Status: DENIED
[2025-11-27 16:36:21.489362] T5 | PARTIALLY_COMMITTED | Object:  | Action: N/A | Status: 
[2025-11-27 16:36:21.489609] T5 | COMMITTED | Object:  | Action: N/A | Status: 
[2025-11-27 16:36:21.489836] T5 | TERMINATED | Object:  | Action: N/A | Status: 
[2025-11-27 16:36:21.534167] T6 | PARTIALLY_COMMITTED | Object:  | Action: N/A | Status: 
[2025-11-27 16:36:21.534488] T6 | COMMITTED | Object:  | Action: N/A | Status: 
[2025-11-27 16:36:21.534808] T6 | TERMINATED | Object:  | Action: N/A | Status: 
